date,total_sales
2022-10-12,4298952
2022-10-13,4129155
2022-10-14,4526229
2022-10-15,5444137
2022-10-16,6343081
2022-10-17,4296084
2022-10-18,3417489
2022-10-19,5433087
2022-10-20,4512794
2022-10-21,3737098
2022-10-22,4275807
2022-10-23,5729482
2022-10-24,5469311
2022-10-25,4372282
2022-10-26,4451306
2022-10-27,4975730
2022-10-28,3936253
2022-10-29,5733755
2022-10-30,6510120
2022-10-31,3986020
2022-11-01,4078384
2022-11-02,3472950
2022-11-03,3589140
2022-11-04,4555533
2022-11-05,7463181
2022-11-06,5613143
2022-11-07,3797124
2022-11-08,4281636
2022-11-09,4472705
2022-11-10,4386489
2022-11-11,3978157
2022-11-12,5717672
2022-11-13,5021183
2022-11-14,5103987
2022-11-15,7800377
2022-11-16,5772204
2022-11-17,4927044
2022-11-18,4328735
2022-11-19,5589359
2022-11-20,6751693
2022-11-21,4405185
2022-11-22,4105230
2022-11-23,5261257
2022-11-24,4604232
2022-11-25,4305151
2022-11-26,6266479
2022-11-27,6099857
2022-11-28,4784018
2022-11-29,4347906
2022-11-30,4272167
2022-12-01,4657194
2022-12-02,5587895
2022-12-03,6842598
2022-12-04,5780761
2022-12-05,3442385
2022-12-06,3957533
2022-12-07,3333237
2022-12-08,4074037
2022-12-09,5115928
2022-12-10,5965792
2022-12-11,5846652
2022-12-12,4892496
2022-12-13,5143296
2022-12-14,3949722
2022-12-15,4481779
2022-12-16,3527684
2022-12-17,5961470
2022-12-18,6190642
2022-12-19,4366760
2022-12-20,4064135
2022-12-21,4454040
2022-12-22,5579907
2022-12-23,6165494
2022-12-24,5743143
2022-12-25,6302521
2022-12-26,5002839
2022-12-27,4676124
2022-12-28,5462468
2022-12-29,4046333
2022-12-30,4750278
2022-12-31,6650812
2023-01-01,6386429
2023-01-02,4785749
2023-01-03,4362862
2023-01-04,5172324
2023-01-05,5701468
2023-01-06,5349267
2023-01-07,7610644
2023-01-08,7981333
2023-01-09,4299733
2023-01-10,4601038
2023-01-11,6149175
2023-01-12,5927018
2023-01-13,5181796
2023-01-14,7812601
2023-01-15,6436804
2023-01-16,4967086
2023-01-17,5036383
2023-01-18,4583332
2023-01-19,5531300
2023-01-20,6143610
2023-01-21,7517812
2023-01-22,7298918
2023-01-23,7038005
2023-01-24,6048590
2023-01-25,4620318
2023-01-26,5744563
2023-01-27,4562143
2023-01-28,6247917
2023-01-29,7639464
2023-01-30,5448455
2023-01-31,5984443
2023-02-01,5033182
2023-02-02,5465988
2023-02-03,5594105
2023-02-04,7014580
2023-02-05,7578015
2023-02-06,4956903
2023-02-07,5045436
2023-02-08,4509545
2023-02-09,6404272
2023-02-10,6113087
2023-02-11,8001801
2023-02-12,6674110
2023-02-13,4764678
2023-02-14,4919091
2023-02-15,5794333
2023-02-16,6145089
2023-02-17,6061862
2023-02-18,6849098
2023-02-19,8194135
2023-02-20,5187635
2023-02-21,4612352
2023-02-22,5399878
2023-02-23,5298054
2023-02-24,7019578
2023-02-25,8346128
2023-02-26,8294427
2023-02-27,4223861
2023-02-28,5765445
2023-03-01,6302981
2023-03-02,5697683
2023-03-03,6097566
2023-03-04,7514779
2023-03-05,7622292
2023-03-06,4570533
2023-03-07,5825191
2023-03-08,4780720
2023-03-09,4080730
2023-03-10,5458274
2023-03-11,8350847
2023-03-12,9416256
2023-03-13,5864013
2023-03-14,4892154
2023-03-15,9516570
2023-03-16,7319281
2023-03-17,6674647
2023-03-18,7424427
2023-03-19,8438999
2023-03-20,4982009
2023-03-21,5195955
2023-03-22,7006700
2023-03-23,5930160
2023-03-24,7092306
2023-03-25,8526428
2023-03-26,8098588
2023-03-27,6078988
2023-03-28,5147008
2023-03-29,5997457
2023-03-30,6989193
2023-03-31,5738223
2023-04-01,7890400
2023-04-02,7264395
2023-04-03,4470489
2023-04-04,4996749
2023-04-05,5891311
2023-04-06,6495949
2023-04-07,6194959
2023-04-08,6077317
2023-04-09,6567259
2023-04-10,5774764
2023-04-11,5242753
2023-04-12,5649870
2023-04-13,4869087
2023-04-14,6346863
2023-04-15,7403197
2023-04-16,7586424
2023-04-17,5330199
2023-04-18,4938678
2023-04-19,5570979
2023-04-20,6353379
2023-04-21,6161439
2023-04-22,7179529
2023-04-23,8672906
2023-04-24,4754045
2023-04-25,5869258
2023-04-26,5862704
2023-04-27,6288962
2023-04-28,5021569
2023-04-29,9273490
2023-04-30,6844017
2023-05-01,5458120
2023-05-02,5154094
2023-05-03,5572417
2023-05-04,4613392
2023-05-05,5513172
2023-05-06,7409273
2023-05-07,8194261
2023-05-08,5914180
2023-05-09,4986762
2023-05-10,4802955
2023-05-11,5083333
2023-05-12,6627498
2023-05-13,6362512
2023-05-14,8000625
2023-05-15,5653906
2023-05-16,5126664
2023-05-17,6946144
2023-05-18,5614548
2023-05-19,5768715
2023-05-20,7586351
2023-05-21,7279231
2023-05-22,6478765
2023-05-23,3207497
2023-05-24,6335575
2023-05-25,6477359
2023-05-26,5387709
2023-05-27,7531078
2023-05-28,7671723
2023-05-29,4867511
2023-05-30,4020395
2023-05-31,4731484
2023-06-01,5984738
2023-06-02,4944117
2023-06-03,7306238
2023-06-04,7974269
2023-06-05,5235224
2023-06-06,5585206
2023-06-07,6052262
2023-06-08,5430187
2023-06-09,5662313
2023-06-10,7336182
2023-06-11,9171350
2023-06-12,4326635
2023-06-13,4989167
2023-06-14,6148732
2023-06-15,10950187
2023-06-16,4786236
2023-06-17,7661766
2023-06-18,6952791
2023-06-19,5974744
2023-06-20,4886172
2023-06-21,4518007
2023-06-22,4196932
2023-06-23,7089298
2023-06-24,6884263
2023-06-25,6321825
2023-06-26,4752922
2023-06-27,5560740
2023-06-28,5102821
2023-06-29,5022111
2023-06-30,5857632
2023-07-01,7222534
2023-07-02,8521497
2023-07-03,6227833
2023-07-04,5143902
2023-07-05,6083280
2023-07-06,5421607
2023-07-07,5737871
2023-07-08,6372352
2023-07-09,6153234
2023-07-10,3393994
2023-07-11,5025357
2023-07-12,6740225
2023-07-13,5149508
2023-07-14,5068465
2023-07-15,4845091
2023-07-16,6276584
2023-07-17,2656300
2023-07-18,5210592
2023-07-19,5793604
2023-07-20,4950167
2023-07-21,5774366
2023-07-22,6647356
2023-07-23,8424668
2023-07-24,4152710
2023-07-25,5174205
2023-07-26,4811366
2023-07-27,5335954
2023-07-28,4149233
2023-07-29,8439354
2023-07-30,7938008
2023-07-31,4950509
2023-08-01,5843529
2023-08-02,4354552
2023-08-03,3983818
2023-08-04,5368244
2023-08-05,6181299
2023-08-06,5084196
2023-08-07,3908142
2023-08-08,4883284
2023-08-09,4762510
2023-08-10,5525873
2023-08-11,4024442
2023-08-12,7642003
2023-08-13,5689680
2023-08-14,4499011
2023-08-15,4615713
2023-08-16,4797815
2023-08-17,5874965
2023-08-18,5885264
2023-08-19,5650320
2023-08-20,5914378
2023-08-21,4032530
2023-08-22,4838428
2023-08-23,4951712
2023-08-24,4862999
2023-08-25,4768252
2023-08-26,6298038
2023-08-27,5696162
2023-08-28,4941719
2023-08-29,4818455
2023-08-30,4829795
2023-08-31,6801899
2023-09-01,5716683
2023-09-02,6187636
2023-09-03,7004544
2023-09-04,5468990
2023-09-05,4135158
2023-09-06,4274918
2023-09-07,4885846
2023-09-08,5155693
2023-09-09,6939707
2023-09-10,6709636
2023-09-11,4337540
2023-09-12,4926678
2023-09-13,4454828
2023-09-14,5806162
2023-09-15,7389035
2023-09-16,6923347
2023-09-17,5868030
2023-09-18,4007646
2023-09-19,3803745
2023-09-20,5007592
2023-09-21,5728350
2023-09-22,5556727
2023-09-23,4972740
2023-09-24,7560523
2023-09-25,3936715
2023-09-26,4233110
2023-09-27,5918469
2023-09-28,4493784
2023-09-29,4593785
2023-09-30,6977243
2023-10-01,4475644
2023-10-02,5046944
2023-10-03,4812721
2023-10-04,4436622
2023-10-05,4230868
2023-10-06,5420930
2023-10-07,4508592
2023-10-08,5875038
2023-10-09,4547430
2023-10-10,3859408
2023-10-11,4242553
2023-10-12,4673680
2023-10-13,4273469
2023-10-14,6705492
2023-10-15,6624587
2023-10-16,4237065
2023-10-17,3114855
2023-10-18,4672684
2023-10-19,5385448
2023-10-20,4438596
2023-10-21,5292762
2023-10-22,7137455
2023-10-23,3909208
2023-10-24,5446914
2023-10-25,4750566
2023-10-26,5296220
2023-10-27,3728714
2023-10-28,4899177
2023-10-29,4608096
2023-10-30,4440623
2023-10-31,4989992
2023-11-01,4132971
2023-11-02,4052036
2023-11-03,4908036
2023-11-04,6119405
2023-11-05,7066033
2023-11-06,5350544
2023-11-07,4755742
2023-11-08,4164909
2023-11-09,3967482
2023-11-10,4786976
2023-11-11,6254985
2023-11-12,6046489
2023-11-13,5121480
2023-11-14,5426897
2023-11-15,9033433
2023-11-16,4933308
2023-11-17,5106013
2023-11-18,7248918
2023-11-19,5516772
2023-11-20,4755795
2023-11-21,4613440
2023-11-22,5875132
2023-11-23,5542254
2023-11-24,5271281
2023-11-25,5457138
2023-11-26,6081743
2023-11-27,4932001
2023-11-28,4721378
2023-11-29,5483225
2023-11-30,5424805
2023-12-01,5240767
2023-12-02,7136035
2023-12-03,6803003
2023-12-04,4676249
2023-12-05,5083617
2023-12-06,6297835
2023-12-07,5445293
2023-12-08,4726903
2023-12-09,5892003
2023-12-10,7277310
2023-12-11,5281882
2023-12-12,5181626
2023-12-13,5115024
2023-12-14,6017690
2023-12-15,4845735
2023-12-16,6827120
2023-12-17,7411820
2023-12-18,6462493
2023-12-19,4180563
2023-12-20,5416680
2023-12-21,4659305
2023-12-22,4904286
2023-12-23,7448349
2023-12-24,6622496
2023-12-25,4505262
2023-12-26,5310803
2023-12-27,5017936
2023-12-28,5869758
2023-12-29,5229202
2023-12-30,6782020
2023-12-31,7262875
2024-01-01,6289997
2024-01-02,4553119
2024-01-03,5763457
2024-01-04,4477856
2024-01-05,4497934
2024-01-06,7081345
2024-01-07,7390853
2024-01-08,5152431
2024-01-09,5025231
2024-01-10,5766715
2024-01-11,5344946
2024-01-12,5746283
2024-01-13,6843582
2024-01-14,6067935
2024-01-15,5474756
2024-01-16,5348953
2024-01-17,6100646
2024-01-18,5517297
2024-01-19,6139660
2024-01-20,7528847
2024-01-21,8532140
2024-01-22,5099730
2024-01-23,4137651
2024-01-24,5305421
2024-01-25,5390777
2024-01-26,6155481
2024-01-27,7164019
2024-01-28,7629629
2024-01-29,5286898
2024-01-30,6578414
2024-01-31,6222926
2024-02-01,6758253
2024-02-02,4706141
2024-02-03,7974634
2024-02-04,6807226
2024-02-05,5312702
2024-02-06,4852063
2024-02-07,5992085
2024-02-08,4681219
2024-02-09,6373472
2024-02-10,9020385
2024-02-11,8581512
2024-02-12,5275189
2024-02-13,5398412
2024-02-14,6389644
2024-02-15,5902488
2024-02-16,6132911
2024-02-17,8184968
2024-02-18,6431634
2024-02-19,6146934
2024-02-20,6428813
2024-02-21,5693172
2024-02-22,5042431
2024-02-23,5994285
2024-02-24,8010047
2024-02-25,7195433
2024-02-26,4948871
2024-02-27,5043161
2024-02-28,5630276
2024-02-29,5821518
2024-03-01,6840404
2024-03-02,7475795
2024-03-03,8417875
2024-03-04,6353750
2024-03-05,6625147
2024-03-06,5742058
2024-03-07,6143763
2024-03-08,6133009
2024-03-09,7570753
2024-03-10,6916081
2024-03-11,6895398
2024-03-12,5543687
2024-03-13,5575233
2024-03-14,5023578
2024-03-15,10417286
2024-03-16,8001378
2024-03-17,7760026
2024-03-18,6103593
2024-03-19,6512504
2024-03-20,6018665
2024-03-21,5734615
2024-03-22,5480205
2024-03-23,8201008
2024-03-24,9045974
2024-03-25,4783292
2024-03-26,5984720
2024-03-27,5693428
2024-03-28,6457976
2024-03-29,6362877
2024-03-30,6981692
2024-03-31,8630277
2024-04-01,4978584
2024-04-02,6456380
2024-04-03,6443737
2024-04-04,6223130
2024-04-05,5875851
2024-04-06,7913616
2024-04-07,6892987
2024-04-08,4334921
2024-04-09,6539341
2024-04-10,6940856
2024-04-11,6259459
2024-04-12,5507855
2024-04-13,9895886
2024-04-14,7505004
2024-04-15,6287856
2024-04-16,5911148
2024-04-17,6128830
2024-04-18,5848267
2024-04-19,6256453
2024-04-20,8010064
2024-04-21,6952453
2024-04-22,5240852
2024-04-23,5949904
2024-04-24,6265885
2024-04-25,6742357
2024-04-26,6517442
2024-04-27,6798925
2024-04-28,7660292
2024-04-29,5409591
2024-04-30,5726850
2024-05-01,5534736
2024-05-02,6657779
2024-05-03,5335654
2024-05-04,7366227
2024-05-05,7461382
2024-05-06,6117273
2024-05-07,5329792
2024-05-08,6175426
2024-05-09,5642796
2024-05-10,5746351
2024-05-11,9183453
2024-05-12,6945934
2024-05-13,5053304
2024-05-14,6324519
2024-05-15,5060674
2024-05-16,4984061
2024-05-17,4939871
2024-05-18,7034970
2024-05-19,8093715
2024-05-20,5161361
2024-05-21,6069116
2024-05-22,5248491
2024-05-23,5775657
2024-05-24,5603965
2024-05-25,8286227
2024-05-26,7042956
2024-05-27,6031171
2024-05-28,5745807
2024-05-29,5658009
2024-05-30,4751159
2024-05-31,6542376
2024-06-01,7473235
2024-06-02,7092541
